Symbol,entry date,Entry Point,exit date,Exit Point,Stop Loss,Wins,Losses,Profit/loss
KANSAINER.NS,2021-02-18,586.4500122070312,2021-04-23,549.9000244140625,379.71448791503906,1,1,-21.049957275390625
KANSAINER.NS,2021-05-04,571.0,2021-05-26,582.2999877929688,379.71448791503906,2,1,-9.749969482421875
KANSAINER.NS,2021-06-04,579.6500244140625,2021-06-09,589.4000244140625,379.71448791503906,3,1,3.0517578125e-05
KANSAINER.NS,2021-09-21,619.9000244140625,2021-10-07,640.25,379.71448791503906,4,1,20.350006103515625
KANSAINER.NS,2021-10-19,574.9500122070312,2021-12-10,597.0499877929688,379.71448791503906,5,1,42.449981689453125
KANSAINER.NS,2021-12-16,582.7000122070312,2021-12-17,589.8499755859375,379.71448791503906,6,1,49.599945068359375
KANSAINER.NS,2022-01-07,597.9000244140625,2022-01-19,595.5,379.71448791503906,6,2,47.199920654296875
KANSAINER.NS,2022-02-03,555.2999877929688,2022-04-26,469.1000061035156,379.71448791503906,6,3,-39.00006103515625
KANSAINER.NS,2022-05-13,398.1000061035156,2022-07-29,400.0,379.71448791503906,7,3,-37.100067138671875
MOTHERSON.NS,2020-07-31,38.89240646362305,2020-08-12,47.84708786010742,73.40850151062011,1,0,8.954681396484375
MOTHERSON.NS,2020-10-15,43.23655319213867,2020-11-14,53.27727127075195,73.40850151062011,2,0,18.995399475097656
MOTHERSON.NS,2021-02-09,66.24823760986328,2021-02-15,86.35015869140625,73.40850151062011,3,0,39.097320556640625
MOTHERSON.NS,2021-04-20,83.74777221679688,2021-05-11,95.55073547363281,73.40850151062011,4,0,50.90028381347656
MOTHERSON.NS,2021-07-13,100.2022476196289,2021-10-05,92.84588623046875,73.40850151062011,4,1,43.543922424316406
MOTHERSON.NS,2021-12-02,88.70665740966797,2022-01-14,123.69999694824219,73.40850151062011,5,1,78.53726196289062
MOTHERSON.NS,2022-03-07,85.46666717529297,2022-07-27,86.23332977294922,73.40850151062011,6,1,79.30392456054688
MOTHERSON.NS,2022-09-15,85.96666717529297,2022-12-01,74.0,73.40850151062011,6,2,67.3372573852539
NTPC.NS,2020-07-15,88.05000305175781,2020-08-26,102.80000305175781,172.85400604248048,1,0,14.75
NTPC.NS,2020-09-25,84.80000305175781,2020-11-13,91.44999694824219,172.85400604248048,2,0,21.399993896484375
NTPC.NS,2021-01-29,88.94999694824219,2021-02-25,108.0,172.85400604248048,3,0,40.44999694824219
NTPC.NS,2021-04-20,99.05000305175781,2021-05-20,111.75,172.85400604248048,4,0,53.149993896484375
NTPC.NS,2021-08-17,117.4000015258789,2021-09-23,126.19999694824219,172.85400604248048,5,0,61.949989318847656
NTPC.NS,2021-11-25,135.1999969482422,2022-01-19,134.8000030517578,172.85400604248048,5,1,61.54999542236328
NTPC.NS,2022-03-07,130.0500030517578,2022-04-05,149.10000610351562,172.85400604248048,6,1,80.5999984741211
NTPC.NS,2022-06-07,157.25,2022-08-01,156.5,172.85400604248048,6,2,79.8499984741211
NTPC.NS,2022-10-20,166.9499969482422,2022-10-28,174.0500030517578,172.85400604248048,7,2,86.95000457763672
NTPC.NS,2022-12-26,165.64999389648438,2023-02-23,169.60000610351562,172.85400604248048,8,2,90.90001678466797
M&M.NS,2020-10-05,607.0,2020-10-08,634.1500244140625,1220.7195483398436,1,0,27.1500244140625
M&M.NS,2020-10-15,617.2999877929688,2020-11-19,703.9000244140625,1220.7195483398436,2,0,113.75006103515625
M&M.NS,2021-03-25,791.7000122070312,2021-06-03,802.0499877929688,1220.7195483398436,3,0,124.10003662109375
M&M.NS,2021-07-09,771.5499877929688,2021-08-30,791.5499877929688,1220.7195483398436,4,0,144.10003662109375
M&M.NS,2021-09-15,755.0999755859375,2021-10-04,841.1500244140625,1220.7195483398436,5,0,230.15008544921875
M&M.NS,2021-12-10,859.7000122070312,2022-01-25,854.5,1220.7195483398436,5,1,224.9500732421875
M&M.NS,2022-02-25,807.5999755859375,2022-04-13,866.0999755859375,1220.7195483398436,6,1,283.4500732421875
M&M.NS,2022-10-11,1229.550048828125,2022-11-07,1351.300048828125,1220.7195483398436,7,1,405.2000732421875
M&M.NS,2022-12-06,1263.050048828125,2023-01-17,1320.8499755859375,1220.7195483398436,8,1,463.0
L&TFH.NS,2020-08-04,56.36491012573242,2020-08-28,66.59616088867188,93.55499999999999,1,0,10.231250762939453
L&TFH.NS,2020-09-24,52.318912506103516,2020-11-05,62.038604736328125,93.55499999999999,2,0,19.950942993164062
L&TFH.NS,2021-04-12,88.5999984741211,2021-06-10,99.05000305175781,93.55499999999999,3,0,30.40094757080078
L&TFH.NS,2021-07-23,88.25,2021-09-29,89.9000015258789,93.55499999999999,4,0,32.05094909667969
L&TFH.NS,2021-11-11,85.4000015258789,2022-04-01,83.05000305175781,93.55499999999999,4,1,29.700950622558594
L&TFH.NS,2022-05-25,71.75,2022-08-01,76.4000015258789,93.55499999999999,5,1,34.3509521484375
L&TFH.NS,2022-10-13,76.44999694824219,2022-11-02,79.4000015258789,93.55499999999999,6,1,37.30095672607422
ZFCVINDIA.NS,2020-09-14,6691.10009765625,2020-12-03,5782.25,10233.184306640625,0,1,-908.85009765625
ZFCVINDIA.NS,2021-01-22,5378.75,2021-02-17,5965.85009765625,10233.184306640625,1,1,-321.75
ZFCVINDIA.NS,2021-09-03,7003.2998046875,2021-10-04,7161.7998046875,10233.184306640625,2,1,-163.25
ZFCVINDIA.NS,2021-10-06,7137.75,2021-10-19,7550.7001953125,10233.184306640625,3,1,249.7001953125
ZFCVINDIA.NS,2022-02-11,7697.7001953125,2022-04-18,7649.25,10233.184306640625,3,2,201.25
ZFCVINDIA.NS,2022-06-16,7286.75,2022-07-18,8297.099609375,10233.184306640625,4,2,1211.599609375
ZFCVINDIA.NS,2022-11-16,9515.2001953125,2023-02-07,9838.5498046875,10233.184306640625,5,2,1534.94921875
GUJGASLTD.NS,2020-08-11,311.8500061035156,2020-08-13,325.6499938964844,460.1025,1,0,13.79998779296875
GUJGASLTD.NS,2020-09-24,295.8500061035156,2020-11-17,311.0,460.1025,2,0,28.949981689453125
GUJGASLTD.NS,2021-05-19,520.5999755859375,2021-06-08,598.9500122070312,460.1025,3,0,107.30001831054688
GUJGASLTD.NS,2021-09-14,672.7000122070312,2021-11-24,658.0999755859375,460.1025,3,1,92.69998168945312
GUJGASLTD.NS,2021-12-31,634.8499755859375,2022-01-17,696.0999755859375,460.1025,4,1,153.94998168945312
GUJGASLTD.NS,2022-02-24,572.75,2022-05-11,537.4000244140625,460.1025,4,2,118.60000610351562
GUJGASLTD.NS,2022-06-16,424.20001220703125,2022-08-12,480.25,460.1025,5,2,174.64999389648438
GUJGASLTD.NS,2022-10-21,501.79998779296875,2022-11-03,516.5999755859375,460.1025,6,2,189.44998168945312
GUJGASLTD.NS,2023-01-02,490.1499938964844,2023-02-24,507.3999938964844,460.1025,7,2,206.69998168945312
PFIZER.NS,2020-07-13,4126.60009765625,2020-07-24,4342.85009765625,3723.9840966796874,1,0,216.25
PFIZER.NS,2021-01-19,4966.2001953125,2021-04-13,5081.9501953125,3723.9840966796874,2,0,332.0
PFIZER.NS,2021-10-05,5656.2998046875,2022-04-07,4474.0498046875,3723.9840966796874,2,1,-850.25
PFIZER.NS,2022-05-10,4217.85009765625,2022-08-02,4228.35009765625,3723.9840966796874,3,1,-839.75
GLAXO.NS,2020-10-16,1517.25,2020-12-09,1550.0999755859375,1229.085,1,0,32.8499755859375
GLAXO.NS,2021-01-29,1465.800048828125,2021-05-06,1464.199951171875,1229.085,1,1,31.2498779296875
GLAXO.NS,2021-09-03,1511.3499755859375,2021-11-08,1675.199951171875,1229.085,2,1,195.099853515625
GLAXO.NS,2022-01-25,1653.0999755859375,2022-04-04,1625.75,1229.085,2,2,167.7498779296875
GLAXO.NS,2022-05-12,1482.699951171875,2023-03-09,1296.550048828125,1229.085,2,3,-18.4000244140625
UBL.NS,2020-08-03,946.2000122070312,2020-09-02,1084.5,1430.0054516601563,1,0,138.29998779296875
UBL.NS,2020-10-06,975.4000244140625,2020-11-20,1094.25,1430.0054516601563,2,0,257.14996337890625
UBL.NS,2021-03-04,1234.4000244140625,2021-05-19,1283.199951171875,1430.0054516601563,3,0,305.94989013671875
UBL.NS,2021-12-02,1515.050048828125,2022-01-19,1612.4000244140625,1430.0054516601563,4,0,403.29986572265625
UBL.NS,2022-02-17,1551.0,2022-04-20,1481.800048828125,1430.0054516601563,4,1,334.09991455078125
UBL.NS,2022-05-25,1430.0999755859375,2022-06-23,1490.449951171875,1430.0054516601563,5,1,394.44989013671875
UBL.NS,2022-06-28,1461.449951171875,2022-07-07,1624.5999755859375,1430.0054516601563,6,1,557.5999145507812
UBL.NS,2022-11-04,1658.25,2022-11-28,1678.199951171875,1430.0054516601563,7,1,577.5498657226562
ABFRL.NS,2020-07-22,120.30000305175781,2020-08-19,140.0,222.255,1,0,19.699996948242188
ABFRL.NS,2020-10-05,132.1999969482422,2020-10-26,161.1999969482422,222.255,2,0,48.69999694824219
ABFRL.NS,2021-02-12,166.4499969482422,2021-03-01,192.85000610351562,222.255,3,0,75.10000610351562
ABFRL.NS,2021-04-22,176.4499969482422,2021-06-03,197.14999389648438,222.255,4,0,95.80000305175781
ABFRL.NS,2021-08-23,194.0,2021-09-24,223.85000610351562,222.255,5,0,125.65000915527344
ABFRL.NS,2021-12-15,282.45001220703125,2022-01-10,293.1000061035156,222.255,6,0,136.3000030517578
ABFRL.NS,2022-02-23,269.1000061035156,2022-04-01,300.0,222.255,7,0,167.1999969482422
ABFRL.NS,2022-05-11,258.20001220703125,2022-07-26,265.29998779296875,222.255,8,0,174.2999725341797
APLAPOLLO.NS,2021-06-01,648.7000122070312,2021-06-09,684.5250244140625,1205.176475830078,1,0,35.82501220703125
APLAPOLLO.NS,2021-10-22,816.4500122070312,2021-11-24,925.25,1205.176475830078,2,0,144.625
APLAPOLLO.NS,2022-01-21,959.4500122070312,2022-03-28,907.1500244140625,1205.176475830078,2,1,92.32501220703125
APLAPOLLO.NS,2022-05-20,918.5499877929688,2022-08-02,991.4500122070312,1205.176475830078,3,1,165.22503662109375
